title,registration_number,registration_date,language,periodicity,publisher,owner,publication_state,publication_district
AKASH JYOTI,TNHIN/2007/22714,2008-01-30,Hindi,Daily,VUPPALA SUJATHA,VUPPALA SUJATHA,Tamil Nadu,Chennai
AKASH KA PANCHI,MPHIN/2004/14171,2005-03-21,Hindi,Monthly,PRIYANKA SAHU,PRIYANKA SAHU,Madhya Pradesh,Bhopal
AKASH KA TARA,MPHIN/2011/41837,2012-04-30,Hindi,Monthly,AVNISH TIWARI,AVNISH TIWARI,Madhya Pradesh,Bhopal
AKASH KE SANSKAR,MPHIN/2021/83781,2023-04-17,Hindi,Monthly,AKASH MEHAR,AKASH MEHAR,Madhya Pradesh,Bhopal
AKASH MARG,40285,2013-10-01,Hindi,Daily,RAKESH PANDEY,RAKESH PANDEY,Uttar Pradesh,Deoria
AKASH MITRA,UPHIN/2021/83474,2023-03-02,Hindi,Daily,RAM SUKH,RAM SUKH,Uttar Pradesh,Basti
AKASHARA KOUMUDHI,APTEL/25/A5343,2025-12-30,Telugu,Monthly,YEMPADA APPARAO,YEMPADA APPARAO,Andhra Pradesh,Vizianagaram
AKASHARMALA,MAHMAR/2017/72936,2017-08-08,Marathi,Weekly,VINOD BALKRUSHAN MUNDE,VINOD BALKRUSHAN MUNDE,Maharashtra,Amravati
AKASHAYA DEEP,UTTHIN/2001/05572,2001-10-20,Hindi,Daily,ABHISHEK SHARMA,ABHISHEK SHARMA,Uttarakhand,Haridwar
AKASHAYA DEEP,UPHIN/2018/75019,2018-03-08,Hindi,Weekly,ABHISHEK SHARMA,ABHISHEK SHARMA,Uttar Pradesh,Shahjahanpur
AKASHAYA DEEP,UTTHIN/2001/05573,2001-11-13,Hindi,Daily,ABHISHEK SHARMA,ABHISHEK SHARMA,Uttarakhand,Dehradun
AKASHAYA DEEP,HARHIN/2001/05101,2001-10-15,Hindi,Daily,ABHISHEK SHARMA,ABHISHEK SHARMA,Haryana,Kurukshetra
AKASHGANGA,MAHMAR/2000/02324,2000-11-04,Marathi,Weekly,ALNASIR ABDULLA KAZI,ALNASIR ABDULLA KAZI,Maharashtra,Kolhapur
AKASHHIND,DELHIN/2012/45602,2012-10-08,Hindi,Weekly,LAL BABU GIRI,LAL BABU GIRI,Delhi,New Delhi
AKASHI,13830,1959-01-01,Assamese,Fortnightly,G.C. CHAKRAVARTY,A.I.R. KOLKATA,West Bengal,Kolkata
AKASHRA MALIKA,APTEL/25/A2488,2025-09-11,Telugu,Daily,ADIANDHRA GANESH,ADIANDHRA GANESH,Andhra Pradesh,Sri Sathya Sai
AKATH,16096,1967-12-12,Hindi,Monthly,RACHNA MANI,MANI MADHUKAR,Rajasthan,Jaipur
AKBAR TIMES,MPHIN/2012/45006,2013-10-25,Hindi,Weekly,SMT. IRAM HASAN,SMTI. IRAM HASAN,Madhya Pradesh,Betul
AKBAR TIMES,CHHHIN/2011/43859,2013-10-31,Hindi,Weekly,IRAM HASAN,SMTI. IRAM HASAN,Chhattisgarh,Raipur
AKBAR TIMES,MPHIN/2006/19096,2013-10-25,Hindi,Weekly,IRAM HASAN,IRAM HASAN,Madhya Pradesh,Bhopal
AKBARI,UPBIL/2009/29665,2009-11-20,"Hindi, Urdu",Weekly,B.R. GUPTA,INDIA LEGAL PUBLISHERS PVT. LTD.,Uttar Pradesh,Gautam Buddha Nagar
AKBARPUR DARPAN,UPHIN/2020/79722,2021-03-31,Hindi,Weekly,RAJNISH VERMA,RAJNISH VERMA,Uttar Pradesh,Ambedkar Nagar
AKBARPUR EXPRESS,UPURD/2010/30762,2010-02-12,Urdu,Daily,ABHISHEK TIWARI,ABHISHEK TIWARI,Uttar Pradesh,Ambedkar Nagar
AKBARPUR EXPRESS,68006,1998-03-26,Hindi,Weekly,ABHISHEK TIWARI,ABHISHEK TIWARI,Uttar Pradesh,Ambedkar Nagar
AKBARPUR TAK,UPHIN/2023/90398,2025-01-03,HINDI,Monthly,VINEET KUMAR,VINEET KUMAR,Uttar Pradesh,Ambedkar Nagar
AKBARPUR TIMES,UPHIN/2010/32269,2010-05-11,Hindi,Weekly,SANTOSH KUMAR TIWARI,SANTOSH KUMAR TIWARI,Uttar Pradesh,Ambedkar Nagar
AKBHAR-E-DECCAN,TELURD/2021/89283,2024-09-30,URDU,Daily,HAJI ABDUL KAREEM,HAJI ABDUL KAREEM,Telangana,Hyderabad
AKCHARPATH,MPHIN/2012/45008,2012-09-05,Hindi,Daily,DIWAKAR SHARMA,DIWAKAR SHARMA,Madhya Pradesh,Datia
AKCHARPATH,MPHIN/2010/33060,2010-07-28,Hindi,Daily,DIWAKAR SHARMA,DIWAKAR SHARMA,Madhya Pradesh,Gwalior
AKELA,8063,2017-02-09,Hindi,Weekly,BIRJU CHAND GUPTA,BIRJU CHAND GUPTA,Assam,Tinsukia
AKELA,ASSHIN/2019/79695,2021-03-24,Hindi,Daily,VINOD BIRMIWAL,BIRJU CHAND GUPTA,Assam,Tinsukia
AKELA RAHI,UTTHIN/2012/44635,2012-08-13,Hindi,Weekly,SIDHANAND KOTNALA,SIDHANAND KOTNALA,Uttarakhand,Dehradun
AKHABARVAANI,UPHIN/2023/87749,2024-07-03,HINDI,Daily,JAVITRI,JAVITRI,Uttar Pradesh,Lucknow
AKHAND AAJ TAK,PUNBIL/2020/80342,2021-10-11,"English, HINDI",Monthly,VINEET KUMAR SHARMA,VINEET KUMAR SHARMA,Punjab,Jalandhar
AKHAND ANAND,1652,1957-03-04,Gujarati,Monthly,PARESHBHAI ANANDBHAI AMIN,BHIKSHU AKHANDANAND TRUST,Gujarat,Ahmedabad
AKHAND ARANYA PRAHARI,RJHIN/26/A4249,2026-05-26,Hindi,Monthly,JASWANT SINGH,JASWANT SINGH,Rajasthan,Kota
AKHAND AWAAJ,DELHIN/2020/79653,2021-03-10,Hindi,Weekly,ARVIND MISHRA,ARVIND MISHRA,Delhi,New Delhi
AKHAND AWADH,UPHIN/25/A4380,2025-11-27,Hindi,Weekly,Vishal Singh,Vishal Singh,Uttar Pradesh,Bara Banki
AKHAND BARABANKI,UPHIN/2020/80468,2021-11-15,Hindi,Weekly,DEEPTI SRIVASTAVA,DEEPTI SRIVASTAVA,Uttar Pradesh,Bara Banki
AKHAND BHARAT,GUJGUJ/2011/39896,2013-07-03,Gujarati,Daily,TETARAWAL ROOPSINGH,TETARAWAL ROOPSINGH,Gujarat,Gandhinagar
AKHAND BHARAT SANDESH,UPHIN/2001/09025,2003-02-10,Hindi,Daily,YOGI SATYAM,YOG SATSANG SAMITI,Uttar Pradesh,Prayagraj
AKHAND BHARAT SWAPN SE YATHARTH TAK,UPHIN/2015/71719,2017-05-18,Hindi,Quarterly,AMITA MISHRA,AMITA MISHRA,Uttar Pradesh,Varanasi
AKHAND BHARAT TIMES,UPHIN/2024/90377,2024-12-23,HINDI,Daily,DEVENDRA SINGH YADAV,DEVENDRA SINGH YADAV,Uttar Pradesh,Lucknow
AKHAND BHUMI PATH,MPHIN/2022/83309,2023-02-10,Hindi,Quarterly,KIRAN PARIHAR,KIRAN PARIHAR,Madhya Pradesh,Bhopal
AKHAND BUNDELKHAND,62343,2005-12-12,Hindi,Weekly,P K JHA SARATHI,P K JHA,Uttar Pradesh,Jhansi
AKHAND CHAKRA,MPHIN/2023/87717,2024-07-01,HINDI,Daily,RAJENDRA KUMAR GUPTA,RAJENDRA KUMAR GUPTA,Madhya Pradesh,Bhopal
AKHAND CHETNA,UPHIN/2022/83512,2023-03-06,Hindi,Weekly,SATYA TIWARI,SATYA TIWARI,Uttar Pradesh,Lucknow
AKHAND DEEP,UPHIN/2023/90051,2024-11-05,HINDI,Quarterly,SARITA,SARITA,Uttar Pradesh,Lucknow
AKHAND DOOT,MPHIN/25/A3962,2025-11-17,Hindi,Daily,Raghuveer prasad malviya,Raghuveer prasad malviya,Madhya Pradesh,Ujjain
AKHAND DOOT,MPHIN/2012/41463,2012-04-10,Hindi,Daily,R.P. MALVIYA,R.P. MALVIYA,Madhya Pradesh,Bhopal
AKHAND DOOT,MPHIN/2010/32964,2010-07-16,Hindi,Weekly,R.P. MALVIYA,R.P. MALVIYA,Madhya Pradesh,Bhopal
AKHAND DRISHTI NEWS,MPHIN/26/A1990,2026-03-25,Hindi,Weekly,Bharat Sharan Rajoria,Bharat Sharan Rajoria,Madhya Pradesh,Datia
AKHAND DUNIYA,MPHIN/26/A6336,2026-08-03,Hindi,Daily,satish kumar mishra,satish kumar mishra,Madhya Pradesh,Seoni
AKHAND GONDWANA,MPHIN/2011/40706,2012-05-16,Hindi,Fortnightly,DURGAWATI,DURGAWATI,Madhya Pradesh,Bhopal
AKHAND GUJARAT,GUJGUJ/2015/73467,2017-10-05,Gujarati,Weekly,ARPITA MAYUR KUMAR MEHTA,ARPITA MAYAUR KUMAR MEHTA,Gujarat,Vadodara
AKHAND GYAN,PUNBIL/2006/18283,2007-01-05,"English, Punjabi",Monthly,NARENDRANAND,M/S DIVYA JYOTI JAGRATI SANSTHAN,Punjab,Jalandhar
AKHAND GYAN,DELENG/2008/23897,2013-09-09,English,Monthly,NARENDRANAND,DIVYA JYOTI JAGRATI SANSTHAN,Delhi,New Delhi
AKHAND GYAN,DELHIN/2003/10768,2013-12-02,Hindi,Monthly,NARENDRANAND,M/S DIVYA JYOTI JAGRATI SANSTHAN,Delhi,New Delhi
AKHAND JAGAT,BHHIN/25/A1894,2025-07-21,Hindi,Monthly,DIPMALA DEVI,DIPMALA DEVI,Bihar,Saran
AKHAND JAMBUDWIP,MHMAR/25/A3178,2025-10-13,Marathi,Weekly,Naresh Bapu Gavale,Naresh Bapu Gavale,Maharashtra,Dhule
AKHAND JAMMU KASHMIR,JKHIN/26/A2540,2026-04-15,Hindi,Monthly,BENVASHER SHARMA,BENVASHER SHARMA,Jammu and Kashmir,Rajouri
AKHAND JOT,49222,2005-12-12,Hindi,Weekly,A.S.THAKUR,A.S.THAKUR,Delhi,New Delhi
AKHAND JYOTI,2162,1957-03-04,Hindi,Monthly,MRITYUNJAY SHARMA,MRITYUNJAY SHARMA,Uttar Pradesh,Mathura
AKHAND JYOTI,UPENG/2003/09850,2003-05-14,English,Bimonthly (Once in two months),MRITYUNJAY SHARMA,MRITYUNJAY SHARMA,Uttar Pradesh,Mathura
AKHAND JYOTI,UTTMAL/2014/58072,2014-11-03,Malayalam,Bimonthly (Once in two months),SHAILBALA PANDYA,VED MATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND JYOTI,UTTASS/2014/56330,2014-07-28,Assamese,Bimonthly (Once in two months),SHAILBALA PANDYA,VED MATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND JYOTI,UTTTAM/2014/56328,2014-07-28,Tamil,Bimonthly (Once in two months),SHAILBALA PANDYA,VED MATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND JYOTI,UTTKAN/2014/56329,2014-07-28,Kannada,Bimonthly (Once in two months),SHAILBALA PANDYA,VED MATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND JYOTI MARATHI,UTTMAR/2008/23749,2008-05-06,Marathi,Monthly,SHAILBALA PANDYA,VEDMATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND JYOTI UDIYA,UTTODI/2007/19879,2007-05-25,Oriya,Monthly,SHAILBALA PANDYA,VEDMATA GAYATRI TRUST,Uttarakhand,Haridwar
AKHAND KESARI,PUNHIN/2021/80910,2021-12-27,Hindi,Weekly,Ankit Bhaskar,Ankit Bhaskar,Punjab,Jalandhar
AKHAND LOK,PUNHIN/2021/80875,2022-02-17,Hindi,Twice a week,MUKTI SHARMA,MUKTI SHARMA,Punjab,Shahid Bhagat Singh Nagar
AKHAND MAHASHAKTI,MPHIN/2015/62103,2015-05-25,Hindi,Daily,HIMANSHU SINGH,HIMANSHU SINGH,Madhya Pradesh,Bhopal
AKHAND RAJPUTANA,KARHIN/2015/65700,2016-01-21,Hindi,Monthly,DEVENDAR PRATAP SINGH M.,DEVENDAR PRATAP SINGH.M,Karnataka,Bengaluru
AKHAND SAMACHAR,PUNMUL/2021/80868,2021-12-27,"English, Punjabi, Hindi",Weekly,SANDEEP KUMAR,SANDEEP KUMAR,Punjab,Jalandhar
AKHAND SANDESH,GUJGUJ/2020/84557,2023-05-29,Gujarati,Fortnightly,MITUL JAYENDRABHAI SUTHAR,KINNARIBEN MITUL SUTHAR,Gujarat,Panchmahal
AKHAND SATTA,MPHIN/25/A1086,2025-06-05,Hindi,Daily,ANANT KUMAR GUPTA,ANANT KUMAR GUPTA,Madhya Pradesh,Rewa
AKHAND SINDHU SANSAR,MPSIN/2004/13054,2004-08-20,Sindhi,Monthly,ANURADHA GYANCHAND LALWANI,ANURADHA GYANCHAND LALWANI,Madhya Pradesh,Bhopal
AKHAND SOOCHNA,MPHIN/2018/76356,2018-11-12,Hindi,Weekly,CHARAN SINGH,CHARAN SINGH,Madhya Pradesh,Bhopal
AKHAND SOOCHNA,MPHIN/2019/77710,2019-07-03,Hindi,Daily,CHARAN SINGH,CHARAN SINGH,Madhya Pradesh,Bhopal
AKHAND SWAR,CTHIN/25/A2269,2025-08-25,Hindi,Monthly,Nusrat Bano,Nusrat Bano,Chhattisgarh,Raipur
AKHAND TIMES,MPHIN/2017/72288,2017-06-20,Hindi,Monthly,RAVISHANKAR JHOD,RAVI SHANKAR JHOD,Madhya Pradesh,Chhindwara
AKHAND UTTARANCHAL,UTTHIN/2007/24640,2008-07-10,Hindi,Fortnightly,KANCHANA TIWARI,KANCHANA TIWARI,Uttarakhand,Almora
AKHAND VISHWAMBHARANAND GYAN SARITA,UPHIN/2016/73634,2017-10-25,Hindi,Half Yearly,SWAMI SHUKHDEVANAND,AKHAND VISHWAMBHARANAND SANT ASHRAM,Uttar Pradesh,Jhansi
AKHAND WARTA,MAHMAR/2012/47324,2013-01-07,Marathi,Daily,MAHIBUB DASTGIR PATHAN,MAHIBUB DASTGIR PATHAN,Maharashtra,Dharashiv
AKHAND YUG,MPHIN/2022/87032,2024-04-25,Hindi,Daily,KHALID AMAN,KHALID AMAN,Madhya Pradesh,Bhopal
AKHAND ZEP,MAHMAR/2015/60741,2015-03-11,Marathi,Weekly,RAVINDRA RAMBHAU WAGH,RAVINDRA RAMBHAU WAGH,Maharashtra,Buldhana
AKHANDA BHARAT EXPRESS,UPHIN/26/A1398,2026-02-25,Hindi,Daily,BRAJESH KUMAR BHARTI,BRAJESH KUMAR BHARTI,Uttar Pradesh,Lucknow
AKHANDA BHARAT EXPRESS,UPHIN/25/A1877,2025-07-21,Hindi,Daily,BRAJESH KUMAR BHARTI,BRAJESH KUMAR BHARTI,Uttar Pradesh,Azamgarh
AKHANDA BHOOMI,TGTEL/25/A3217,2025-10-14,Telugu,Daily,MASAPOGU ESWARAIAH,MASAPOGU ESWARAIAH,Telangana,Rangareddy
AKHANDA BHOOMI,TGTEL/26/A5301,2026-06-18,Telugu,Daily,MASAPOGU ESWARAIAH,MASAPOGU ESWARAIAH,Telangana,Mahbubnagar
AKHANDA BHOOMI,APTEL/2022/84042,2023-04-27,Telugu,Daily,MASAPOGU ESWARAIAH,MASAPOGU ESWARAIAH,Andhra Pradesh,Kurnool
AKHANDA BHOOMI,APTEL/25/A4964,2025-12-10,Telugu,Monthly,MASAPOGU ESWARAIAH,MASAPOGU ESWARAIAH,Andhra Pradesh,Kurnool
AKHANDA BHOOMI,APTEL/26/A4779,2026-06-08,Telugu,Daily,MASAPOGU ESWARAIAH,MASAPOGU ESWARAIAH,Andhra Pradesh,Ananthapuramu
AKHANDA HINDHUSTHAN,TGTEL/26/A2877,2026-04-29,Telugu,Daily,SRINIVAS RAO HAZARI,SRINIVAS RAO HAZARI,Telangana,Rangareddy
AKHANDA KARNATAKA,KARKAN/2022/86709,2024-03-28,Kannada,Monthly,KIRAN KUMAR. D,KIRAN KUMAR D,Karnataka,Hassan
AKHANDA NYAYDARPAN,MHMAR/25/A5398,2025-12-30,Marathi,Daily,SACHIN MAROTI MESHRAM,SACHIN MAROTI MESHRAM,Maharashtra,Chandrapur
AKHANDAA SURYAA,APTEL/26/A6444,2026-08-10,Telugu,Daily,PETTA VENKATA SURYANARAYANA,PETTA VENKATA SURYANARAYANA,Andhra Pradesh,Visakhapatnam
AKHANDAA SURYAA,APTEL/25/A4586,2025-12-02,Telugu,Daily,PETTA VENKATA SURYANARAYANA,PETTA VENKATA SURYANARAYANA,Andhra Pradesh,Krishna
AKHANDAA SURYAA,TGTEL/25/A1809,2025-07-11,Telugu,Daily,PETTA VENKATA SURYANARAYANA,PETTA VENKATA SURYANARAYANA,Telangana,Medchal Malkajgiri
AKHANDALMANI EXPRESS,ORORI/26/A2175,2026-04-02,Oriya,Monthly,HIMANSHU SAHOO,HIMANSHU SAHOO,Odisha,Jajapur
AKHANDDANI,MPHIN/25/A3572,2025-10-29,Hindi,Monthly,PRAKASH JOSHI,PRAKASH JOSHI,Madhya Pradesh,Bhopal
AKHANDTA KA NARA,56461,1993-06-21,Hindi,Weekly,VINOD KUMAR SHUKLA,VINOD KUMAR SHUKLA,Madhya Pradesh,Bhopal
AKHANDTA SANGRAM,40463,1983-11-08,Hindi,Fortnightly,SURENDER KUMAR MONGIA,SURENDER KUMAR MONGIA,Delhi,New Delhi
AKHAR,26449,1976-03-15,Punjabi,Bimonthly (Once in two months),PARMINDER JEET,PARMINDER JEET,Punjab,Amritsar
AKHAR E NAUJAWAN,47186,1987-11-10,Urdu,Fortnightly,SYED ABID ANIS,SYED ABID ANIS,Delhi,New Delhi
AKHBAAR AL ADAB,MPHIN/25/A1650,2025-07-04,Hindi,Monthly,MOHAMMAD FAIZAN KHAN,MOHAMMAD FAIZAN KHAN,Madhya Pradesh,Bhopal
AKHBAAR E SHEHAR,MPHIN/2022/90794,2025-06-02,HINDI,Quarterly,SAMIA HASSAN SIDDIQUI,SAMIA HASSAN SIDDIQUI,Madhya Pradesh,Bhopal
AKHBAAR E SHEHAR,MPHIN/25/A0543,2025-05-28,Hindi,Monthly,Samiya Hasan Siddiqui,Samiya Hasan Siddiqui,Madhya Pradesh,Bhopal
AKHBAAR NO.1,DELHIN/2008/24859,2008-07-23,Hindi,Daily,SAFDAR RIZVI,SAFDAR RIZWI,Delhi,New Delhi
AKHBAL-E-URDU JADEED,45853,,Urdu,Weekly,,,Delhi,
AKHBAR E BHOPAL,MPBIL/2020/79961,2021-07-15,"English, HINDI",Monthly,SHAHEDA SULTAN,SHAHEDA SULTAN,Madhya Pradesh,Bhopal
AKHBAR E BHOPAL,MPBIL/2016/73227,2017-09-13,"English, HINDI",Weekly,SHAHEDA SULTAN,SHAHEDA SULTAN,Madhya Pradesh,Bhopal
AKHBAR E GIRDI PESH,57471,1993-01-05,Urdu,Fortnightly,,,,
AKHBAR E HIND,MPHIN/2016/71707,2017-05-18,Hindi,Weekly,FIRDOUS AIJAZ,FIRDOUS AIJAZ,Madhya Pradesh,Bhopal
AKHBAR E MASHRIQ,JKURD/2017/72331,2017-06-20,Urdu,Daily,MANZOOR ZAHOOR,AKHBAR E MASHRIQ PVT LTD,Jammu and Kashmir,Srinagar
AKHBAR E MASHRIQ,WBURD/2015/62343,2015-06-01,Urdu,Daily,M.W. HAQUE,AKHBAR-E-MASHRIQ PVT.LTD.,West Bengal,Paschim Bardhaman
AKHBAR E MASHRIQ,UPURD/2015/63340,2015-07-24,Urdu,Daily,MOHD. WASIMUL HAQUE,AKHBAR-E-MASHRIQ PVT.LTD,Uttar Pradesh,Lucknow
AKHBAR E MASHRIQ,WBURD/2015/62353,2015-06-01,Urdu,Daily,MD. WASIMUL HAQUE,AKHBAR-E-MASHRIQ PVT.LTD.,West Bengal,Darjiling
AKHBAR E MASHRIQ,JHAURD/2007/18841,2007-03-21,Urdu,Daily,MD. WASIMUL HAQUE,AKHBAR-E-MASHRIQ PVT.LTD.,Jharkhand,Ranchi
AKHBAR E MASHRIQ,37217,2005-12-12,Urdu,Daily,M.W.HAQUE,AKHBAR-E-MASHRIQ PVT. LTD.,West Bengal,Kolkata
AKHBAR E MASHRIQ,63570,2014-06-04,Urdu,Daily,MOHAMMAD WASIMUL HAQUE,AKHBAR-E-MASHRIQ PVT. LTD.,Delhi,New Delhi
AKHBAR E MASHRIQ,MPURD/2014/58384,2014-11-19,Urdu,Daily,MOHAMMAD WASIMUL HAQUE,AKHBAR-E-MASHRIQ PVT. LTD.,Madhya Pradesh,Bhopal
AKHBAR E SULEMANI,UPURD/2014/57464,2014-09-23,Urdu,Daily,Sant Prasad Shukla,Sahiba Bano,Uttar Pradesh,Lucknow
AKHBAR E WATAN,UPHIN/2024/90310,2024-12-09,HINDI,Weekly,ZAKIR ALI BAIG,ZAKIR ALI BAIG,Uttar Pradesh,Moradabad
AKHBAR EK MISSION,DELURD/2014/57537,2014-10-01,Urdu,Daily,TANWEER AHMAD,TANWEER AHMAD,Delhi,New Delhi
AKHBAR JAGAT,MPBIL/2014/60977,2015-03-27,"English, HINDI",Monthly,PRADIP JOSHI,PRADIP JOSHI,Madhya Pradesh,Indore
AKHBAR-E-NAU,40537,2005-12-12,Urdu,Weekly,AHMED ADEEL KHAN,AHMED ADEEL KHAN,Delhi,New Delhi
AKHBARE KASHIF,BIHURD/2008/24019,2008-05-22,Urdu,Fortnightly,MD. SHAMIM,MD. SHAMIM,Bihar,Patna
AKHBARNAMA,ODIURD/2016/68224,2016-08-12,Urdu,Daily,SHAIKH RIAJ MOHAMMED,SHAIKH RIAJ MOHAMMED,Odisha,Jajapur
AKHBARNAMA,ODIURD/2011/39450,2012-10-31,Urdu,Daily,SHAIKH RIAJ MOHAMMED,SHAIKH RIAJ MOHAMMED,Odisha,Khordha
AKHBARO KA AKHBAR,RAJHIN/2011/48778,2013-03-22,Hindi,Weekly,KAVITA PARAKH,KAVITA PARAKH,Rajasthan,Chittorgarh
AKHIL AANJANA TIMES,GUJGUJ/2016/73533,2017-10-12,Gujarati,Weekly,SAVJIBHAI OKHABHAI CHAUDHARY,SAVJIBHAI OKHABHAI CHAUDHARY,Gujarat,Banaskantha
AKHIL BHARAT,UPHIN/2022/84844,2023-06-06,Hindi,Daily,MOHD ISARAR,MOHD ISARAR,Uttar Pradesh,Hardoi
AKHIL BHARAT PATRIKA,24522,2013-09-23,Bengali,Monthly,SUDHENDU SAHA,SRI AUROBINDO SOCIETY,West Bengal,Kolkata
AKHIL BHARAT PATRIKA,22511,2012-01-05,Kannada,Monthly,AJIT SABNIS,SRI AUROBINDO SOCIETY,Karnataka,Bengaluru
AKHIL BHARAT PATRIKA,23593,1999-01-27,Telugu,Monthly,PRADEEP NARANG,SRI AUROBINDO SOCIETY PUDUCHERRY,Puducherry,Puducherry
AKHIL BHARATIYA MAHESHWARI MANCH,MPHIN/2003/13031,2004-08-18,HINDI,Weekly,GIRISH MAHESHWARI,GIRISH MAHESHWARI,Madhya Pradesh,Indore
AKHIL BHARATIYA MANVADHIKAR MISSION PRAGATI,UPHIN/2015/63960,2015-08-28,Hindi,Monthly,KAMRAN ASAD,AKHIL BHARTIYA MANVADHIKAR MISSION,Uttar Pradesh,Lucknow
AKHIL BHARTIYA,GUJGUJ/2000/01563,2000-08-04,Gujarati,Weekly,JITENDRA GOPALBHAI BHOJVANI,JITENDRA GOPALBHAI BHOJVANI,Gujarat,Junagadh
AKHIL BHARTIYA SAMACHAR TIMES,MPHIN/2010/36018,2011-03-08,Hindi,Weekly,HARSH RAWAT,HARSH RAWAT,Madhya Pradesh,Bhopal
AKHIL BHARTIYA SHIVCHATRAPTI JANJIRA,MAHMAR/2016/68650,2016-09-08,Marathi,Weekly,NARAYAN VASANTRAO KHARADE,NARAYAN VASANTRAO KHARADE,Maharashtra,Chhatrapati Sambhaji Nagar
AKHIL BHARTIYA SWATANTRA LEKHAK MANCH,57419,1994-09-12,Hindi,Monthly,LAXMAN SINGH SWATANTRA,LAXMAN SINGH SWATANTRA,Delhi,New Delhi
AKHIL BHARTIYA TERAPANTH TIMES,72014,2012-11-05,HINDI,Weekly,Pawan H Jain,AKHIL BHARTIYA TERAPANTHI YUVAK PARISHAD,Delhi,Central Delhi
AKHIL DARPAN,UPHIN/2016/72020,2017-06-01,Hindi,Fortnightly,ANJU VERMA,ANJU VERMA,Uttar Pradesh,Saharanpur
AKHIL GOONJ,UPHIN/2012/43978,2012-07-11,Hindi,Weekly,ANJU VERMA,ANJU VERMA,Uttar Pradesh,Saharanpur
AKHIL GUJARAT,GUJGUJ/2014/57517,2014-09-29,Gujarati,Daily,SHAILESHBHAI JESHINGBHAI PARMAR,SHAILESHBHAI JESHINGBHAI PARMAR,Gujarat,Ahmedabad
AKHIL INDIA,DELHIN/2011/45750,2012-10-15,Hindi,Fortnightly,AKHILESH KUMAR,AKHILESH KUMAR,Delhi,New Delhi
AKHIL INDIA,UPURD/2016/68744,2016-09-14,Urdu,Daily,AKHILESH KUMAR,AKHILESH KUMAR,Uttar Pradesh,Gautam Buddha Nagar
AKHIL INDIA,DELURD/2013/52672,2013-10-21,Urdu,Daily,AKHILESH KUMAR,AKHILESH KUMAR,Delhi,New Delhi
AKHIL INDIA,DELURD/2012/46483,2012-11-20,Urdu,Fortnightly,AKHILESH KUMAR,AKHILESH KUMAR,Delhi,New Delhi
AKHIL LOKKRANTI,62099,2005-12-12,Marathi,Weekly,Dadasaheb Bhika Patil,Dadasaheb Bhika Patil,Maharashtra,Thane
AKHIL MANTHAN,MPHIN/2020/79403,2021-02-17,Hindi,Weekly,RAHUL SENGAR,RAHUL SENGAR,Madhya Pradesh,Jhabua
AKHIL SAMACHAR,MAHBIL/2023/89939,2024-11-04,BILINGUAL,Weekly,SUBHASH SHANKARRAO BORKAR,SUBHASH SHANKARRAO BORKAR,Maharashtra,Nagpur
AKHIL SAMARPAN,UPHIN/2022/83960,2024-05-09,Hindi,Monthly,AKHILESH KUMAR SRIVASTAVA,AKHILESH KUMAR SRIVASTAVA,Uttar Pradesh,Lucknow
AKHIL VAANI,UPHIN/2023/87212,2024-05-08,Hindi,Monthly,AKHILESH  DEWVEDI,AKHILESH  DEWVEDI,Uttar Pradesh,Lucknow
AKHILA BHARATH SURYA,APTEL/26/A3540,2026-05-12,Telugu,Daily,PAILA APPARAO,PAILA APPARAO,Andhra Pradesh,Visakhapatnam
AKHILA INDIA IDHAZH,70839,1999-06-07,Tamil,Monthly,PRADEEP NARANG,SRI AUROBINDO SOCIETY,Puducherry,Puducherry
AKHILA KARNATAKA SHIKSHAKA SAMACHAR,45459,1986-12-08,Kannada,Monthly,D.V. SATHYANARAYANA,KARNATAKA RAJYA MADHYAMIKA SHIKSHA SANGHA (REGD.),Karnataka,Bengaluru
AKHILA VANI,KARKAN/2020/79591,2021-03-04,Kannada,Daily,MOHAMAD KHALEEL,MOHAMAD KHALEEL,Karnataka,Koppal
AKHIR LIKHNA PADA,UPHIN/2010/41731,2012-04-20,Hindi,Weekly,BRIJENDRA AGNIHOTRI,BRIJENDRA AGNIHOTRI,Uttar Pradesh,Fatehpur
AKHIRI AGHAT,MPHIN/2011/39205,2011-10-11,Hindi,Weekly,SANJAY MALVIYA,SANJAY MALVIYA,Madhya Pradesh,Hoshangabad
AKHIRI DUNIYA,58511,1994-06-24,Urdu,Weekly,SHAKIL AHMED AYUBI,SHAKIL AHMED AYUBI,Uttar Pradesh,Lakhimpur Kheri
AKHIRI PAHAR,52035,,,,,,,
AKHIRI PATH,52020,1990-05-07,Hindi,Weekly,MOH NAFIS,MHO. NAFEES,Madhya Pradesh,Indore
AKHIRI UMMEED,RJMUL/25/A0104,2025-04-08,"Hindi, English, Rajasthani",Monthly,AJIT SINGH CHOUDHARY,AJIT SINGH CHOUDHARY,Rajasthan,Jaipur
AKHLAQ E DOR,MPHIN/26/A3819,2026-05-18,Hindi,Quarterly,arshi khan,arshi khan,Madhya Pradesh,Bhopal
